datetime,temperature_celsius,wind_kph,cloud,humidity,precip_mm
01-01-2019,25.7,12.6,37,62,0
02-01-2019,26,14,79,69,0.9
03-01-2019,24.5,13,78,92,4
04-01-2019,23.6,12.2,73,82,3.7
05-01-2019,23.9,14,66,77,1.2
06-01-2019,23.6,16.6,71,87,1.6
07-01-2019,23.6,15.5,64,96,14.8
08-01-2019,23.8,14.8,58,94,7.7
09-01-2019,23.8,15.8,19,86,0.1
10-01-2019,24.2,10.4,34,79,0
11-01-2019,25.1,7.2,23,75,0
12-01-2019,24.3,9.4,44,84,0.3
13-01-2019,24.5,12.6,48,73,0.2
14-01-2019,23.9,12.6,48,73,0.2
15-01-2019,23.6,10.8,32,72,0.2
16-01-2019,24.5,10.1,33,62,0
17-01-2019,24.9,9.4,14,56,0
18-01-2019,24.3,9.7,0,51,0
19-01-2019,24.2,9.7,0,55,0
20-01-2019,24.9,10.4,1,61,0
21-01-2019,25.4,14.8,5,67,0
22-01-2019,26.2,17.3,19,63,0
23-01-2019,26,16.2,10,59,0
24-01-2019,26,15.1,2,58,0
25-01-2019,26,11.5,1,63,0
26-01-2019,26.2,9.7,24,64,0
27-01-2019,26,13.3,67,66,0
28-01-2019,25.3,11.9,89,68,0
29-01-2019,25.2,11.9,8,67,0
30-01-2019,25.4,13.3,58,68,0
31-01-2019,26,12.6,95,66,0
01-02-2019,25.5,10.4,99,69,0
02-02-2019,25.4,11.9,99,67,0
03-02-2019,25.2,13,90,66,0
04-02-2019,26.3,13,4,62,0
05-02-2019,26.5,14,11,65,0.2
06-02-2019,26.4,12.2,8,66,0.1
07-02-2019,26.6,9.7,9,66,0
08-02-2019,27,8.6,9,64,0
09-02-2019,26.5,12.6,1,61,0
10-02-2019,26.6,13.7,7,58,0
11-02-2019,26.7,14.4,38,59,0
12-02-2019,27.1,9,8,47,0
13-02-2019,27.6,12.2,1,58,0
14-02-2019,27,16.6,7,71,3.6
15-02-2019,24.4,9.7,6,70,2.8
16-02-2019,25.2,10.4,0,28,0
17-02-2019,26.4,10.8,0,48,0.2
18-02-2019,26.9,16.6,3,62,0.1
19-02-2019,26.3,13,16,72,1.6
20-02-2019,27.9,13.3,10,65,0
21-02-2019,28.1,15.1,11,64,0
22-02-2019,29,12.6,0,56,0
23-02-2019,30.5,6.1,0,45,0
24-02-2019,30,11.9,0,53,0
25-02-2019,29.4,13.7,25,57,0
26-02-2019,29.3,12.6,0,54,0
27-02-2019,29.1,14.8,1,56,0
28-02-2019,28.7,16.2,0,60,0
01-03-2019,28.3,12.6,1,57,0
02-03-2019,28.1,11.9,0,57,0
03-03-2019,29.6,12.2,0,59,0
04-03-2019,30.2,12.6,0,58,0
05-03-2019,29.6,14,0,60,0
06-03-2019,29.2,14.4,0,56,0
07-03-2019,29.6,12.6,0,52,0
08-03-2019,30.4,12.2,0,53,0
09-03-2019,30.9,13.3,0,53,0
10-03-2019,30.5,15.8,0,59,0
11-03-2019,30.1,17.6,0,60,0
12-03-2019,30.4,18.7,0,58,0
13-03-2019,30.6,16.9,13,60,0
14-03-2019,30.2,16.6,11,62,0
15-03-2019,30.3,16.2,11,60,0
16-03-2019,30.4,15.5,1,58,0
17-03-2019,30.3,15.8,4,59,0
18-03-2019,31,13.3,0,54,0
19-03-2019,30.4,15.8,0,54,0
20-03-2019,30.5,17.3,0,55,0
21-03-2019,30.1,19.4,0,57,0
22-03-2019,29.9,17.3,1,61,0
23-03-2019,29.9,16.9,6,64,0
24-03-2019,30.3,15.1,53,61,0
25-03-2019,31,16.2,2,61,0.1
26-03-2019,31.1,16.9,6,63,0
27-03-2019,31.4,15.8,2,61,0
28-03-2019,31.7,15.5,0,57,0
29-03-2019,31.6,17.6,0,57,0
30-03-2019,30.8,18.4,1,60,0
31-03-2019,30.1,17.3,10,60,0
01-04-2019,29.8,17.3,4,57,0
02-04-2019,30.2,16.9,7,61,0
03-04-2019,30.8,18.4,6,62,0
04-04-2019,31.1,18.7,6,61,0
05-04-2019,31.6,16.9,5,62,0.2
06-04-2019,30.9,14,8,67,2.4
07-04-2019,30.5,14.4,5,69,2.4
08-04-2019,31.2,18,6,62,0
09-04-2019,31.5,19.1,10,58,0
10-04-2019,31.9,18.4,1,57,0
11-04-2019,31.6,19.8,0,60,0
12-04-2019,30.5,21.6,14,60,0
13-04-2019,31.3,15.1,15,56,0
14-04-2019,31.3,18,5,57,0
15-04-2019,31.9,16.6,27,61,0.9
16-04-2019,28.8,9.4,30,86,14
17-04-2019,30.9,9,4,68,0.6
18-04-2019,31.2,14.4,42,67,2.5
19-04-2019,33.2,15.5,0,54,0
20-04-2019,34.4,14.4,1,48,0
21-04-2019,34.8,14.8,1,48,0
22-04-2019,35.1,16.9,0,50,0
23-04-2019,35.7,15.8,2,49,0
24-04-2019,36.3,12.6,2,48,0.3
25-04-2019,36.2,13,23,50,0.2
26-04-2019,37.2,11.2,4,34,0
27-04-2019,37.4,19.4,0,17,0
28-04-2019,38,16.6,15,28,0
29-04-2019,37.8,16.9,8,34,0
30-04-2019,36.3,18.4,4,49,0
01-05-2019,34.3,20.9,12,55,0
02-05-2019,34.3,19.8,15,55,0
03-05-2019,34.7,19.1,29,53,0
04-05-2019,34.2,18,25,54,0
05-05-2019,35.2,20.2,15,50,0
06-05-2019,36.6,16.6,13,47,0
07-05-2019,36.2,17.6,4,47,0
08-05-2019,34.1,19.8,34,58,0
09-05-2019,32.6,23,39,61,0
10-05-2019,31.8,16.6,81,60,0
11-05-2019,30.8,13.3,100,67,0
12-05-2019,31.1,15.8,95,63,0
13-05-2019,32.7,19.8,88,57,0
14-05-2019,34.7,16.6,39,53,0
15-05-2019,36,15.1,36,50,0
16-05-2019,36.4,19.1,23,49,0
17-05-2019,38.5,19.4,17,43,0
18-05-2019,39.8,19.8,29,37,0
19-05-2019,38.7,16.6,35,43,0
20-05-2019,36.8,21.2,24,53,0
21-05-2019,35.3,22.3,99,58,0.1
22-05-2019,33.3,18.7,97,74,13.1
23-05-2019,32.2,16.6,60,78,2.4
24-05-2019,32.8,18,26,75,3.6
25-05-2019,33.2,12.2,64,74,5.1
26-05-2019,33.8,12.6,21,65,0
27-05-2019,36.4,13.3,19,51,0
28-05-2019,34.5,21.2,10,61,0
29-05-2019,33.4,18.7,75,60,0
30-05-2019,33.3,18.7,18,59,0
31-05-2019,34.3,16.9,5,53,0
01-06-2019,34.1,14,78,56,0
02-06-2019,34.7,15.1,93,58,0
03-06-2019,35.6,11.9,84,54,0
04-06-2019,35,15.8,59,56,0
05-06-2019,33.3,20.2,80,63,0
06-06-2019,33,18.7,76,63,0
07-06-2019,33,18.7,26,63,0
08-06-2019,33,18,31,64,0
09-06-2019,33.5,18,9,59,0
10-06-2019,34.7,17.6,59,54,0
11-06-2019,36.8,18,63,39,0
12-06-2019,37.5,19.4,34,34,0
13-06-2019,38.5,20.9,55,31,0
14-06-2019,38.2,21.2,56,32,0
15-06-2019,36.8,21.6,56,44,4.9
16-06-2019,37.2,20.5,21,42,0.1
17-06-2019,36.5,23.8,20,48,0.6
18-06-2019,37.2,27,52,45,1.2
19-06-2019,33.8,22,75,61,0.6
20-06-2019,34.2,25.2,45,57,0
21-06-2019,35.6,25.6,53,48,0
22-06-2019,35.4,24.1,80,45,0
23-06-2019,35.5,20.5,70,44,0
24-06-2019,34.3,17.3,94,54,0.4
25-06-2019,29,11.2,99,89,7.7
26-06-2019,29.1,10.8,97,86,10.6
27-06-2019,28.8,7.2,94,88,16.8
28-06-2019,29.2,9.7,84,84,9.7
29-06-2019,29.1,11.9,84,85,7.7
30-06-2019,29.3,11.5,97,82,0.6
01-07-2019,29.7,11.9,96,81,6
02-07-2019,28.5,11.9,98,88,6.7
03-07-2019,29,9.4,86,85,12.6
04-07-2019,28.5,10.1,97,85,3.3
05-07-2019,28.1,10.4,97,88,16.5
06-07-2019,27.1,13,99,86,2
07-07-2019,27.8,12.6,94,88,10.9
08-07-2019,27.9,13,94,91,6.3
09-07-2019,28.1,11.5,99,90,8.6
10-07-2019,27.9,10.1,96,91,11.3
11-07-2019,27.2,6.8,97,92,12.6
12-07-2019,27.5,8.6,88,90,13.2
13-07-2019,27.8,9.4,99,87,9.7
14-07-2019,27.5,11.5,93,89,13
15-07-2019,27.1,12.2,95,91,9.2
16-07-2019,27.2,16.2,94,86,0
